"Source:","C:\Users\skeez\Projects\KiCAD\GameMan\GameMan.kicad_sch"
"Date:","11/15/2023 3:58:22 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","5","C1, C2, C3, C5, C6","10uF","Device:C_Small","GameMan:0805-NO","~",""
"2","2","C4, C7","1uF","Device:C_Small","GameMan:0603-NO","~",""
"3","1","D1","MBR1020VL","Device:D_Schottky_Small","GameMan:SOD-123","~",""
"4","1","D2","ORANGE","Device:LED","GameMan:CHIPLED_0805_NOOUTLINE","~",""
"5","1","D3","RED","Device:LED","GameMan:CHIPLED_0805_NOOUTLINE","~",""
"6","1","J1","Conn_01x08_Socket","Connector:Conn_01x08_Socket","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~",""
"7","1","J2","Conn_01x10_Socket","Connector:Conn_01x10_Socket","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","DNP"
"8","1","OLED1","DISPLAY","Connector:Conn_01x08_Socket","GameMan:Adafruit_SSD1327","~","DNP"
"9","1","Q1","DMG3415U","GameMan:MOSFET-P","GameMan:SOT23-R","https://www.diodes.com/assets/Datasheets/products_inactive_data/ds31735.pdf",""
"10","2","Q2, Q3","MMBT2222A","GameMan:MMBT2222A","GameMan:SOT23-3","https://www.mccsemi.com/pdf/Products/MMBT2222A(SOT-23).pdf",""
"11","4","R1, R2, R4, R7","100K","Device:R_Small","GameMan:0603-NO","~",""
"12","1","R3","4.7K","Device:R_Small","GameMan:0603-NO","~",""
"13","3","R5, R8, R9","10K","Device:R_Small","GameMan:0603-NO","~",""
"14","2","R6, R10","1K","Device:R_Small","GameMan:0603-NO","~",""
"15","1","SW1","RST","GameMan:SWITCH_TACT_SMT4.6X2.8","GameMan:BTN_KMR2_4.6X2.8","",""
"16","1","SW2","A","GameMan:SWITCH_TACT_SMT","Button_Switch_SMD:SW_SPST_PTS645","",""
"17","1","SW3","B","GameMan:SWITCH_TACT_SMT","Button_Switch_SMD:SW_SPST_PTS645","",""
"18","1","SW4","C","GameMan:SWITCH_TACT_SMT","Button_Switch_SMD:SW_SPST_PTS645","",""
"19","1","SW5","LT","GameMan:SWITCH_TACT_SMT","Button_Switch_SMD:SW_SPST_PTS645","",""
"20","1","SW6","UP","GameMan:SWITCH_TACT_SMT","Button_Switch_SMD:SW_SPST_PTS645","",""
"21","1","SW7","RT","GameMan:SWITCH_TACT_SMT","Button_Switch_SMD:SW_SPST_PTS645","",""
"22","1","SW8","DN","GameMan:SWITCH_TACT_SMT","Button_Switch_SMD:SW_SPST_PTS645","",""
"23","1","SW9","SW_SPST","Switch:SW_SPST","Button_Switch_SMD:SW_SPDT_PCM12","~",""
"24","1","U1","AP2112","GameMan:AP2112-3.3","GameMan:SOT23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf",""
"25","1","U2","~","GameMan:CP2104","GameMan:QFN24_4MM_SMSC","https://www.silabs.com/documents/public/data-sheets/cp2104.pdf",""
"26","1","U3","~","GameMan:MCP73831/2","GameMan:SOT23-5","https://ww1.microchip.com/downloads/en/DeviceDoc/MCP73831-Family-Data-Sheet-DS20001984H.pdf",""
"27","1","U4","~","GameMan:ESP32_WROOM32_GM","GameMan:ESP32-WROOM-32E","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf",""
"28","1","X1","~","GameMan:CON_JST_PH_2PIN","GameMan:JSTPH2","https://cdn-shop.adafruit.com/datasheets/17311.pdf",""
"29","1","X2","AMP 10118194","GameMan:10118194-0001LF","CONN_10118194-0001LF_AMP","https://www.amphenol-cs.com/media/wysiwyg/files/drawing/10118194.pdf",""
